ID_Ticket,Articulos_Comprados
1066,Tinto
1067,"Capuchino,Torta de Chocolate"
1068,"Jugo de Naranja,Torta de Chocolate"
1069,Jugo de Naranja
1070,"Empanada,Tinto"
1071,Jugo de Naranja
1072,"Pan de Bono,Agua"
1073,"Capuchino,Torta de Chocolate"
1074,"Pan de Bono,Tinto"
1075,Latte
1076,"Empanada,Tinto"
1077,Agua
1078,"Empanada,Latte"
1079,Tinto
1080,"Empanada,Tinto"
1081,Jugo de Naranja
1082,"Agua,Tinto"
1083,"Capuchino,Torta de Chocolate"
1084,"Agua,Empanada"
1085,"Galleta de Avena,Latte"
1086,"Empanada,Tinto"
1087,Agua
1088,"Empanada,Tinto"
1089,"Capuchino,Torta de Chocolate"
1090,"Pan de Bono,Empanada,Tinto"
1091,"Capuchino,Tinto"
1092,"Pan de Bono,Tinto"
1093,Jugo de Naranja
1094,"Pan de Bono,Tinto"
1095,Jugo de Naranja
1096,"Agua,Empanada"
1097,"Empanada,Tinto"
1098,Agua
1099,Latte
1100,Agua
1101,Agua
1102,"Galleta de Avena,Latte"
1103,"Tinto,Latte"
1104,"Pan de Bono,Tinto,Jugo de Naranja"
1105,"Pan de Bono,Tinto"
1106,Capuchino
1107,"Empanada,Tinto"
1108,Tinto
1109,"Capuchino,Galleta de Avena"
1110,"Empanada,Tinto"
1111,Jugo de Naranja
1112,"Pan de Bono,Jugo de Naranja,Galleta de Avena"
1113,"Empanada,Tinto"
1114,Tinto
1115,"Agua,Empanada"
1116,Jugo de Naranja
1117,Capuchino
1118,"Pan de Bono,Tinto"
1119,"Capuchino,Torta de Chocolate"
1120,"Pan de Bono,Tinto"
1121,"Pan de Bono,Tinto"
1122,"Pan de Bono,Latte,Torta de Chocolate"
1123,Tinto
1124,Capuchino
1125,"Empanada,Tinto,Torta de Chocolate"
1126,"Empanada,Tinto,Torta de Chocolate"
1127,Latte
1128,Agua
1129,Agua
1130,Tinto
1131,Tinto
1132,"Galleta de Avena,Latte"
1133,"Empanada,Tinto"
1134,Agua
1135,"Empanada,Tinto"
1136,Agua
1137,"Pan de Bono,Jugo de Naranja"
1138,"Empanada,Tinto"
1139,Tinto
1140,"Empanada,Tinto"
1141,"Pan de Bono,Tinto"
1142,"Pan de Bono,Jugo de Naranja"
1143,Latte
1144,"Empanada,Tinto,Agua"
1145,"Pan de Bono,Tinto"
1146,Capuchino
1147,"Empanada,Tinto"
1148,Capuchino
1149,Jugo de Naranja
1150,"Pan de Bono,Empanada,Tinto"
1151,"Empanada,Tinto"
1152,Jugo de Naranja
1153,Agua
1154,"Pan de Bono,Tinto"
1155,"Pan de Bono,Tinto,Latte"
1156,"Capuchino,Galleta de Avena"
1157,"Capuchino,Galleta de Avena"
1158,Capuchino
1159,"Capuchino,Torta de Chocolate"
1160,"Empanada,Jugo de Naranja"
1161,"Galleta de Avena,Latte"
1162,"Galleta de Avena,Latte"
1163,Latte
1164,"Pan de Bono,Tinto"
1165,"Latte,Torta de Chocolate"
1166,"Galleta de Avena,Latte"
1167,"Capuchino,Galleta de Avena"
1168,"Capuchino,Galleta de Avena"
1169,Jugo de Naranja
1170,Tinto
1171,Capuchino
1172,"Capuchino,Galleta de Avena"
1173,"Empanada,Jugo de Naranja"
1174,"Latte,Torta de Chocolate"
1175,"Capuchino,Empanada,Tinto"
1176,"Capuchino,Empanada"
1177,"Galleta de Avena,Latte"
1178,"Empanada,Tinto,Agua"
1179,Jugo de Naranja
1180,Agua
1181,"Empanada,Tinto"
1182,Latte
1183,"Galleta de Avena,Latte"
1184,"Pan de Bono,Tinto"
1185,"Galleta de Avena,Tinto"
1186,Agua
1187,"Agua,Jugo de Naranja"
1188,Agua
1189,"Latte,Torta de Chocolate"
1190,"Capuchino,Galleta de Avena"
1191,Capuchino
1192,Agua
1193,"Capuchino,Agua"
1194,"Empanada,Tinto"
1195,Agua
1196,Jugo de Naranja
1197,"Jugo de Naranja,Torta de Chocolate"
1198,"Empanada,Tinto"
1199,"Pan de Bono,Jugo de Naranja"
1200,"Galleta de Avena,Tinto"
1201,"Latte,Torta de Chocolate"
1202,"Galleta de Avena,Latte"
1203,Agua
1204,"Tinto,Jugo de Naranja"
1205,"Pan de Bono,Jugo de Naranja"
1206,"Pan de Bono,Agua"
1207,Capuchino
1208,Agua
1209,Jugo de Naranja
1210,Capuchino
1211,"Latte,Torta de Chocolate"
1212,Jugo de Naranja
1213,"Capuchino,Galleta de Avena"
1214,"Pan de Bono,Jugo de Naranja"
1215,Tinto
1216,"Capuchino,Torta de Chocolate"
1217,Agua
1218,"Agua,Tinto"
1219,"Empanada,Tinto"
1220,"Agua,Empanada"
1221,Latte
1222,Tinto
1223,"Pan de Bono,Tinto"
1224,"Pan de Bono,Tinto"
1225,"Galleta de Avena,Latte"
1226,Agua
1227,"Galleta de Avena,Latte"
1228,"Capuchino,Torta de Chocolate"
1229,"Galleta de Avena,Latte,Capuchino"
1230,"Agua,Empanada"
1231,"Capuchino,Galleta de Avena"
1232,"Pan de Bono,Tinto"
1233,Capuchino
1234,"Empanada,Jugo de Naranja"
1235,"Capuchino,Torta de Chocolate"
1236,"Empanada,Jugo de Naranja"
1237,Tinto
1238,Agua
1239,"Latte,Torta de Chocolate"
1240,Agua
1241,"Empanada,Tinto"
1242,Tinto
1243,"Agua,Empanada"
1244,"Galleta de Avena,Latte"
1245,"Capuchino,Agua"
1246,Jugo de Naranja
1247,"Latte,Torta de Chocolate"
1248,"Pan de Bono,Tinto"
1249,Capuchino
1250,Agua
1251,Latte
1252,Agua
1253,Agua
1254,"Pan de Bono,Tinto"
1255,"Pan de Bono,Tinto"
1256,Latte
1257,Jugo de Naranja
1258,"Capuchino,Galleta de Avena"
1259,"Pan de Bono,Tinto"
1260,Capuchino
1261,"Empanada,Tinto"
1262,"Empanada,Tinto"
1263,"Capuchino,Tinto"
1264,"Galleta de Avena,Latte"
1265,"Latte,Torta de Chocolate"
1266,"Empanada,Tinto"
1267,"Pan de Bono,Empanada,Tinto"
1268,Jugo de Naranja
1269,"Empanada,Tinto,Jugo de Naranja"
1270,"Capuchino,Tinto,Galleta de Avena"
1271,Latte
1272,Latte
1273,"Galleta de Avena,Empanada,Tinto"
1274,"Agua,Empanada"
1275,"Capuchino,Galleta de Avena"
1276,"Capuchino,Tinto"
1277,Capuchino
1278,"Empanada,Jugo de Naranja"
1279,"Pan de Bono,Tinto,Galleta de Avena"
1280,Latte
1281,Latte
1282,"Empanada,Tinto"
1283,"Galleta de Avena,Jugo de Naranja"
1284,"Capuchino,Galleta de Avena"
1285,"Latte,Torta de Chocolate"
1286,Jugo de Naranja
1287,"Pan de Bono,Tinto"
1288,"Pan de Bono,Jugo de Naranja"
1289,Agua
1290,Tinto
1291,Jugo de Naranja
1292,"Empanada,Tinto"
1293,Jugo de Naranja
1294,"Capuchino,Empanada,Tinto"
1295,"Empanada,Tinto"
1296,Capuchino
1297,"Pan de Bono,Tinto"
1298,"Tinto,Latte"
1299,"Pan de Bono,Tinto"
1300,Capuchino
1301,"Latte,Torta de Chocolate"
1302,"Jugo de Naranja,Torta de Chocolate"
1303,Capuchino
1304,"Agua,Empanada"
1305,"Galleta de Avena,Agua"
1306,Latte
1307,Capuchino
1308,"Empanada,Tinto"
1309,Capuchino
1310,"Pan de Bono,Tinto"
1311,"Pan de Bono,Jugo de Naranja"
1312,Agua
1313,"Empanada,Tinto"
1314,"Pan de Bono,Tinto"
1315,"Capuchino,Galleta de Avena"
1316,Capuchino
1317,"Capuchino,Torta de Chocolate"
1318,"Galleta de Avena,Latte"
1319,"Galleta de Avena,Empanada,Tinto"
1320,Capuchino
1321,Agua
1322,"Pan de Bono,Tinto"
1323,Tinto
1324,Jugo de Naranja
1325,"Latte,Torta de Chocolate"
1326,"Pan de Bono,Tinto"
1327,"Pan de Bono,Agua"
1328,Jugo de Naranja
1329,Agua
1330,Tinto
1331,"Pan de Bono,Tinto"
1332,"Empanada,Tinto"
1333,"Latte,Torta de Chocolate"
1334,Jugo de Naranja
1335,"Empanada,Tinto"
1336,"Galleta de Avena,Agua"
1337,Tinto
1338,"Empanada,Tinto"
1339,"Agua,Empanada"
1340,"Galleta de Avena,Empanada,Tinto"
1341,"Empanada,Tinto"
1342,"Capuchino,Galleta de Avena"
1343,"Galleta de Avena,Jugo de Naranja"
1344,"Empanada,Tinto"
1345,Jugo de Naranja
1346,"Agua,Latte"
1347,"Galleta de Avena,Latte"
1348,Tinto
1349,"Empanada,Tinto"
1350,Jugo de Naranja
1351,"Agua,Empanada"
1352,Latte
1353,Agua
1354,Latte
1355,Jugo de Naranja
1356,"Pan de Bono,Tinto"
1357,"Galleta de Avena,Latte"
1358,"Empanada,Jugo de Naranja"
1359,Tinto
1360,"Latte,Torta de Chocolate"
1361,"Galleta de Avena,Agua,Latte"
1362,"Capuchino,Agua"
1363,Jugo de Naranja
1364,"Pan de Bono,Tinto"
1365,Agua
1366,"Galleta de Avena,Latte"
1367,"Pan de Bono,Tinto,Torta de Chocolate"
1368,"Tinto,Jugo de Naranja"
1369,Agua
1370,"Capuchino,Galleta de Avena"
1371,"Empanada,Tinto"
1372,"Empanada,Tinto"
1373,Latte
1374,"Agua,Torta de Chocolate"
1375,"Capuchino,Galleta de Avena"
1376,"Empanada,Tinto"
1377,"Agua,Empanada"
1378,"Agua,Empanada"
1379,Latte
1380,"Empanada,Tinto"
1381,"Pan de Bono,Tinto"
1382,"Latte,Torta de Chocolate"
1383,Latte
1384,"Pan de Bono,Tinto"
1385,"Empanada,Tinto"
1386,Tinto
1387,Tinto
1388,Agua
1389,"Empanada,Tinto"
1390,"Empanada,Tinto"
1391,Capuchino
1392,"Pan de Bono,Tinto"
1393,"Galleta de Avena,Latte"
1394,Tinto
1395,"Latte,Torta de Chocolate"
1396,"Pan de Bono,Tinto"
1397,"Capuchino,Pan de Bono,Galleta de Avena"
1398,Tinto
1399,"Latte,Torta de Chocolate"
1400,Agua
1401,"Pan de Bono,Tinto"
1402,Agua
1403,Tinto
1404,Tinto
1405,"Pan de Bono,Latte"
1406,"Empanada,Tinto"
1407,Agua
1408,"Pan de Bono,Agua"
1409,"Pan de Bono,Tinto"
1410,Tinto
1411,Latte
1412,Agua
1413,"Pan de Bono,Tinto"
1414,"Capuchino,Jugo de Naranja"
1415,"Pan de Bono,Agua,Tinto"
1416,Jugo de Naranja
1417,Agua
1418,"Pan de Bono,Tinto"
1419,"Pan de Bono,Tinto"
1420,Tinto
1421,"Agua,Empanada"
1422,"Empanada,Jugo de Naranja"
1423,"Empanada,Tinto"
1424,"Capuchino,Empanada,Tinto"
1425,Tinto
1426,Jugo de Naranja
1427,"Capuchino,Galleta de Avena"
1428,"Capuchino,Latte,Torta de Chocolate"
1429,"Capuchino,Galleta de Avena"
1430,Agua
1431,"Pan de Bono,Tinto,Capuchino"
1432,"Capuchino,Galleta de Avena"
1433,"Latte,Torta de Chocolate"
1434,"Empanada,Tinto"
1435,Latte
1436,Jugo de Naranja
1437,Agua
1438,"Empanada,Jugo de Naranja"
1439,"Pan de Bono,Empanada,Tinto"
1440,"Pan de Bono,Agua"
1441,"Latte,Torta de Chocolate"
1442,Latte
1443,"Jugo de Naranja,Torta de Chocolate"
1444,"Galleta de Avena,Jugo de Naranja"
1445,"Pan de Bono,Tinto"
1446,Agua
1447,"Latte,Torta de Chocolate"
1448,"Empanada,Tinto"
1449,Jugo de Naranja
1450,Agua
1451,"Capuchino,Pan de Bono,Galleta de Avena"
1452,"Pan de Bono,Jugo de Naranja"
1453,"Empanada,Jugo de Naranja,Tinto"
1454,"Capuchino,Torta de Chocolate"
1455,"Pan de Bono,Empanada,Tinto"
1456,Tinto
1457,"Latte,Torta de Chocolate"
1458,"Latte,Torta de Chocolate"
1459,Capuchino
1460,Latte
1461,Agua
1462,"Empanada,Tinto"
1463,"Galleta de Avena,Tinto"
1464,Agua
1465,"Pan de Bono,Tinto"
1466,"Pan de Bono,Empanada,Tinto"
1467,"Pan de Bono,Tinto"
1468,Tinto
1469,"Galleta de Avena,Latte"
1470,Jugo de Naranja
1471,Tinto
1472,"Pan de Bono,Tinto"
1473,"Empanada,Tinto"
1474,"Galleta de Avena,Latte"
1475,Capuchino
1476,Agua
1477,"Capuchino,Agua"
1478,"Agua,Empanada"
1479,Tinto
1480,"Galleta de Avena,Latte"
1481,"Galleta de Avena,Agua,Latte"
1482,"Capuchino,Torta de Chocolate"
1483,"Capuchino,Latte,Torta de Chocolate"
1484,"Galleta de Avena,Empanada,Tinto"
1485,"Capuchino,Agua,Galleta de Avena"
1486,"Pan de Bono,Agua"
1487,Jugo de Naranja
1488,"Empanada,Tinto"
1489,"Empanada,Tinto"
1490,Capuchino
1491,Capuchino
1492,Jugo de Naranja
1493,"Capuchino,Jugo de Naranja"
1494,"Latte,Torta de Chocolate"
1495,"Pan de Bono,Jugo de Naranja"
1496,Agua
1497,Tinto
1498,Jugo de Naranja
1499,"Pan de Bono,Tinto"
1500,Latte
1501,Tinto
1502,"Capuchino,Galleta de Avena,Jugo de Naranja"
1503,"Empanada,Tinto"
1504,"Empanada,Tinto"
1505,Tinto
1506,"Galleta de Avena,Latte"
1507,"Pan de Bono,Jugo de Naranja"
1508,"Empanada,Latte,Torta de Chocolate"
1509,"Galleta de Avena,Latte,Torta de Chocolate"
1510,"Latte,Torta de Chocolate"
1511,"Empanada,Tinto"
1512,"Pan de Bono,Tinto"
1513,"Capuchino,Torta de Chocolate"
1514,"Empanada,Tinto"
1515,"Empanada,Tinto"
1516,"Agua,Empanada"
1517,"Capuchino,Torta de Chocolate"
1518,Agua
1519,Agua
1520,Jugo de Naranja
1521,"Galleta de Avena,Latte"
1522,"Empanada,Tinto"
1523,Agua
1524,"Pan de Bono,Tinto"
1525,Capuchino
1526,Agua
1527,Tinto
1528,Capuchino
1529,"Galleta de Avena,Latte"
1530,"Galleta de Avena,Latte"
1531,"Empanada,Jugo de Naranja"
1532,"Pan de Bono,Tinto"
1533,Latte
1534,"Pan de Bono,Jugo de Naranja"
1535,Jugo de Naranja
1536,"Capuchino,Jugo de Naranja"
1537,"Tinto,Latte"
1538,"Pan de Bono,Tinto"
1539,"Empanada,Tinto"
1540,"Tinto,Torta de Chocolate"
1541,Capuchino
1542,"Capuchino,Galleta de Avena"
1543,"Pan de Bono,Tinto,Jugo de Naranja"
1544,Tinto
1545,"Latte,Torta de Chocolate"
1546,Jugo de Naranja
1547,"Galleta de Avena,Latte"
1548,"Galleta de Avena,Latte"
1549,Tinto
1550,Agua
1551,"Galleta de Avena,Latte,Torta de Chocolate"
1552,"Latte,Torta de Chocolate"
1553,Latte
1554,"Capuchino,Galleta de Avena"
1555,Tinto
1556,Jugo de Naranja
1557,Agua
1558,"Agua,Tinto"
1559,"Pan de Bono,Jugo de Naranja"
1560,Tinto
1561,"Capuchino,Agua"
1562,"Empanada,Tinto"
1563,Agua
1564,Tinto
1565,Tinto
1566,Tinto
1567,"Pan de Bono,Jugo de Naranja"
1568,"Latte,Torta de Chocolate"
1569,Jugo de Naranja
1570,"Capuchino,Galleta de Avena"
1571,Tinto
1572,"Capuchino,Galleta de Avena"
1573,"Latte,Jugo de Naranja"
1574,Jugo de Naranja
1575,Latte
1576,Tinto
1577,Latte
1578,"Latte,Torta de Chocolate"
1579,Jugo de Naranja
1580,Latte
1581,Tinto
1582,Latte
1583,Latte
1584,"Pan de Bono,Latte,Jugo de Naranja"
1585,Capuchino
1586,Jugo de Naranja
1587,"Pan de Bono,Agua"
1588,"Tinto,Jugo de Naranja"
1589,"Capuchino,Torta de Chocolate"
1590,"Pan de Bono,Tinto"
1591,"Galleta de Avena,Latte"
1592,Agua
1593,"Pan de Bono,Tinto,Torta de Chocolate"
1594,Jugo de Naranja
1595,"Empanada,Jugo de Naranja"
1596,"Pan de Bono,Tinto"
1597,"Empanada,Tinto"
1598,"Pan de Bono,Tinto"
1599,Tinto
1600,"Pan de Bono,Tinto"
1601,Latte
1602,"Agua,Empanada"
1603,"Pan de Bono,Tinto"
1604,"Pan de Bono,Tinto"
1605,"Agua,Jugo de Naranja"
1606,"Empanada,Tinto"
1607,"Pan de Bono,Jugo de Naranja"
1608,"Empanada,Tinto"
1609,"Galleta de Avena,Agua,Latte"
1610,"Capuchino,Pan de Bono,Galleta de Avena"
1611,Jugo de Naranja
1612,"Capuchino,Galleta de Avena"
1613,"Pan de Bono,Tinto,Jugo de Naranja"
1614,Tinto
1615,Tinto
1616,Tinto
1617,"Agua,Empanada"
1618,Jugo de Naranja
1619,"Pan de Bono,Tinto"
1620,"Capuchino,Torta de Chocolate"
1621,"Pan de Bono,Tinto"
1622,"Capuchino,Tinto"
1623,"Tinto,Latte"
1624,"Latte,Torta de Chocolate"
1625,Agua
1626,"Pan de Bono,Agua,Tinto"
1627,"Pan de Bono,Agua"
1628,Agua
1629,"Empanada,Tinto"
1630,"Empanada,Tinto"
1631,"Pan de Bono,Agua,Jugo de Naranja"
1632,Tinto
1633,Jugo de Naranja
1634,"Agua,Empanada"
1635,"Pan de Bono,Jugo de Naranja"
1636,Agua
1637,Jugo de Naranja
1638,"Latte,Torta de Chocolate"
1639,"Pan de Bono,Jugo de Naranja"
1640,Tinto
1641,"Capuchino,Torta de Chocolate"
1642,"Empanada,Tinto"
1643,"Pan de Bono,Tinto"
1644,"Capuchino,Galleta de Avena"
1645,"Capuchino,Pan de Bono,Galleta de Avena"
1646,Agua
1647,"Tinto,Jugo de Naranja"
1648,"Empanada,Jugo de Naranja"
1649,"Pan de Bono,Tinto,Jugo de Naranja"
1650,"Pan de Bono,Tinto"
1651,"Capuchino,Tinto"
1652,"Pan de Bono,Tinto,Torta de Chocolate"
1653,"Tinto,Jugo de Naranja"
1654,Agua
1655,"Latte,Torta de Chocolate"
1656,"Capuchino,Torta de Chocolate"
1657,"Galleta de Avena,Latte"
1658,Capuchino
1659,Agua
1660,"Galleta de Avena,Latte"
1661,"Pan de Bono,Empanada,Tinto"
1662,Tinto
1663,"Pan de Bono,Jugo de Naranja"
1664,Tinto
1665,Tinto
1666,Agua
1667,"Pan de Bono,Jugo de Naranja"
1668,Capuchino
1669,"Capuchino,Torta de Chocolate"
1670,"Agua,Tinto"
1671,"Pan de Bono,Tinto,Galleta de Avena"
1672,Tinto
1673,Tinto
1674,"Agua,Empanada"
1675,Jugo de Naranja
1676,Agua
1677,"Latte,Torta de Chocolate"
1678,Agua
1679,Capuchino
1680,"Agua,Empanada"
1681,"Agua,Empanada"
1682,Agua
1683,Capuchino
1684,"Galleta de Avena,Jugo de Naranja"
1685,Tinto
1686,Jugo de Naranja
1687,Agua
1688,"Empanada,Tinto"
1689,Jugo de Naranja
1690,Agua
1691,Capuchino
1692,"Capuchino,Torta de Chocolate"
1693,"Empanada,Tinto"
1694,"Capuchino,Empanada,Tinto"
1695,"Capuchino,Galleta de Avena"
1696,Capuchino
1697,"Pan de Bono,Tinto"
1698,Latte
1699,"Empanada,Tinto,Torta de Chocolate"
1700,"Empanada,Tinto"
1701,"Pan de Bono,Tinto"
1702,Tinto
1703,"Pan de Bono,Agua,Jugo de Naranja"
1704,"Empanada,Tinto"
1705,Tinto
1706,"Pan de Bono,Tinto,Torta de Chocolate"
1707,Agua
1708,Latte
1709,"Latte,Torta de Chocolate"
1710,Tinto
1711,"Capuchino,Latte,Galleta de Avena"
1712,"Pan de Bono,Jugo de Naranja"
1713,"Empanada,Tinto"
1714,Tinto
1715,"Empanada,Tinto"
1716,Capuchino
1717,"Capuchino,Latte,Torta de Chocolate"
1718,Jugo de Naranja
1719,"Pan de Bono,Agua"
1720,"Capuchino,Torta de Chocolate"
1721,"Galleta de Avena,Latte"
1722,"Empanada,Tinto"
1723,Tinto
1724,"Pan de Bono,Tinto"
1725,"Empanada,Tinto"
1726,Tinto
1727,"Empanada,Tinto"
1728,Agua
1729,"Empanada,Tinto,Agua"
1730,"Empanada,Jugo de Naranja"
1731,"Empanada,Tinto"
1732,Tinto
1733,Capuchino
1734,"Galleta de Avena,Latte"
1735,"Empanada,Tinto"
1736,"Pan de Bono,Latte,Torta de Chocolate"
1737,Jugo de Naranja
1738,Capuchino
1739,Latte
1740,"Capuchino,Galleta de Avena"
1741,Agua
1742,"Empanada,Tinto"
1743,"Latte,Torta de Chocolate"
1744,"Galleta de Avena,Latte"
1745,"Empanada,Tinto"
1746,Agua
1747,"Capuchino,Torta de Chocolate"
1748,Agua
1749,Agua
1750,Latte
1751,Jugo de Naranja
1752,Latte
1753,Capuchino
1754,"Pan de Bono,Tinto"
1755,Jugo de Naranja
1756,"Capuchino,Galleta de Avena"
1757,"Pan de Bono,Agua"
1758,"Pan de Bono,Tinto"
1759,"Empanada,Tinto"
1760,"Capuchino,Torta de Chocolate"
1761,"Agua,Empanada"
1762,"Capuchino,Empanada,Torta de Chocolate"
1763,Tinto
1764,Tinto
1765,"Empanada,Tinto"
1766,"Agua,Empanada"
1767,Agua
1768,"Pan de Bono,Tinto"
1769,"Pan de Bono,Agua"
1770,"Pan de Bono,Tinto"
1771,Tinto
1772,Tinto
1773,Tinto
1774,Tinto
1775,"Capuchino,Torta de Chocolate"
1776,"Pan de Bono,Tinto"
1777,"Capuchino,Galleta de Avena"
1778,Capuchino
1779,"Empanada,Tinto"
1780,"Pan de Bono,Tinto"
1781,"Capuchino,Torta de Chocolate"
1782,"Pan de Bono,Tinto"
1783,"Empanada,Jugo de Naranja"
1784,Latte
1785,"Pan de Bono,Tinto,Galleta de Avena"
1786,"Capuchino,Agua"
1787,"Agua,Empanada"
1788,Tinto
1789,Latte
1790,Capuchino
1791,Agua
1792,Jugo de Naranja
1793,"Pan de Bono,Tinto"
1794,"Agua,Torta de Chocolate"
1795,"Empanada,Tinto"
1796,Tinto
1797,"Capuchino,Torta de Chocolate"
1798,Jugo de Naranja
1799,"Pan de Bono,Agua"
1800,"Capuchino,Galleta de Avena,Jugo de Naranja"
1801,"Capuchino,Agua,Galleta de Avena"
1802,Jugo de Naranja
1803,"Pan de Bono,Tinto"
1804,Agua
1805,Tinto
1806,"Empanada,Jugo de Naranja"
1807,"Galleta de Avena,Latte"
1808,"Pan de Bono,Empanada,Tinto"
1809,"Galleta de Avena,Latte,Torta de Chocolate"
1810,"Pan de Bono,Agua"
1811,"Pan de Bono,Tinto,Jugo de Naranja"
1812,"Pan de Bono,Tinto"
1813,Agua
1814,Latte
1815,"Empanada,Tinto"
1816,Agua
1817,Capuchino
1818,Tinto
1819,"Pan de Bono,Tinto,Latte"
1820,"Latte,Torta de Chocolate,Jugo de Naranja"
1821,"Tinto,Torta de Chocolate"
1822,"Pan de Bono,Tinto"
1823,"Capuchino,Tinto"
1824,Latte
1825,"Capuchino,Latte"
1826,"Empanada,Tinto"
1827,Tinto
1828,Agua
1829,"Agua,Tinto"
1830,Tinto
1831,"Pan de Bono,Jugo de Naranja"
1832,Jugo de Naranja
1833,Agua
1834,Latte
1835,Latte
1836,"Pan de Bono,Tinto,Latte"
1837,"Agua,Empanada"
1838,"Galleta de Avena,Tinto"
1839,Tinto
1840,"Pan de Bono,Agua"
1841,"Empanada,Tinto"
1842,"Agua,Empanada"
1843,Tinto
1844,Capuchino
1845,Capuchino
1846,"Pan de Bono,Tinto,Latte"
1847,Jugo de Naranja
1848,"Capuchino,Galleta de Avena"
1849,"Pan de Bono,Jugo de Naranja"
1850,Agua
1851,Tinto
1852,"Pan de Bono,Tinto"
1853,"Pan de Bono,Empanada,Tinto"
1854,Agua
1855,Agua
1856,"Pan de Bono,Jugo de Naranja"
1857,Jugo de Naranja
1858,Tinto
1859,"Empanada,Tinto,Agua"
1860,Agua
1861,"Agua,Latte"
1862,"Pan de Bono,Tinto"
1863,"Pan de Bono,Tinto"
1864,"Capuchino,Galleta de Avena"
1865,"Pan de Bono,Jugo de Naranja,Capuchino"
1866,Tinto
1867,Capuchino
1868,"Latte,Torta de Chocolate"
1869,"Pan de Bono,Tinto"
1870,"Capuchino,Torta de Chocolate"
1871,"Capuchino,Galleta de Avena"
1872,Jugo de Naranja
1873,"Empanada,Tinto"
1874,"Empanada,Tinto"
1875,Tinto
1876,"Pan de Bono,Tinto"
1877,"Pan de Bono,Agua,Empanada"
1878,"Latte,Torta de Chocolate"
1879,Capuchino
1880,"Capuchino,Agua"
1881,"Empanada,Tinto"
1882,"Pan de Bono,Tinto,Capuchino"
1883,Agua
1884,"Capuchino,Galleta de Avena"
1885,"Empanada,Jugo de Naranja"
1886,"Pan de Bono,Agua,Torta de Chocolate"
1887,Agua
1888,"Capuchino,Torta de Chocolate"
1889,"Capuchino,Jugo de Naranja"
1890,Jugo de Naranja
1891,Agua
1892,"Empanada,Tinto"
1893,"Empanada,Tinto,Agua"
1894,"Latte,Torta de Chocolate"
1895,"Latte,Jugo de Naranja"
1896,Tinto
1897,"Galleta de Avena,Agua"
1898,"Pan de Bono,Tinto"
1899,"Galleta de Avena,Latte"
1900,"Pan de Bono,Tinto"
1901,Latte
1902,"Capuchino,Galleta de Avena"
1903,"Capuchino,Galleta de Avena"
1904,"Empanada,Tinto"
1905,"Capuchino,Torta de Chocolate"
1906,"Empanada,Tinto"
1907,"Pan de Bono,Tinto"
1908,Latte
1909,"Capuchino,Tinto,Galleta de Avena"
1910,"Pan de Bono,Tinto"
1911,"Pan de Bono,Tinto,Latte"
1912,"Latte,Torta de Chocolate"
1913,Agua
1914,"Latte,Jugo de Naranja"
1915,Capuchino
1916,"Empanada,Tinto"
1917,"Pan de Bono,Tinto"
1918,Latte
1919,Tinto
1920,"Empanada,Jugo de Naranja"
1921,Capuchino
1922,"Latte,Torta de Chocolate"
1923,Latte
